Chromosome Position NCPscore Ratio
chrI 2730 0.309 0.57883
chrI 2747 0.322 0.64458
chrI 2813 0.795 0.73487
chrI 2814 1.734 1.59232
chrI 2824 2.433 2.20603
chrI 2828 0.816 0.70872
chrI 2830 1.395 1.23392
chrI 2834 2.937 2.49338
chrI 2835 1.218 1.02229
chrI 2836 3.324 2.8055
chrI 2842 0.681 0.55217
chrI 2845 1.594 1.23119
chrI 2849 1.2 0.89836
chrI 2851 3.717 2.75497
chrI 2859 0.712 0.4877
chrI 2873 1.904 1.45534
chrI 2970 0.423 0.49451
chrI 2998 2.717 2.83305
chrI 2999 0.915 0.94103
chrI 3013 0.879 0.93014
chrI 3014 3.216 3.37788
chrI 3029 2.609 2.95291
chrI 3033 0.44 0.5098
chrI 3035 1.176 1.40709
chrI 3038 0.994 1.17956
chrI 3052 0.546 0.68193
chrI 3120 0.56 1.06219
chrI 3131 0.378 0.64939
chrI 3159 0.523 0.6644
chrI 3168 0.834 0.9665
chrI 3177 0.68 0.67115
chrI 3179 1.255 1.19784
chrI 3197 0.456 0.51619
chrI 3199 2.964 3.32867
chrI 3201 1.073 1.2145
chrI 3206 0.829 1.00045
chrI 3208 0.638 0.73328
chrI 3221 0.449 0.53727
chrI 3230 0.516 0.67223
chrI 3239 0.467 0.59332
chrI 3290 0.579 0.7899
chrI 3332 0.765 0.75989
chrI 3339 0.55 0.4894
chrI 3354 1.686 1.34524
chrI 3372 1.026 0.74121
chrI 3373 1.187 0.86245
chrI 3382 2.751 2.10264
chrI 3417 0.569 0.51273
chrI 3430 0.513 0.48952
chrI 3478 0.97 0.95704
chrI 3508 0.764 0.87101
chrI 3517 1.273 1.42937
chrI 3529 1.946 1.82092
chrI 3540 0.736 0.73109
chrI 3544 0.619 0.59071
chrI 3548 1.235 1.1562
chrI 3557 0.657 0.56775
chrI 3593 1.59 1.43296
chrI 3603 1.178 1.10917
chrI 3624 0.645 0.68759
chrI 3635 0.598 0.59817
chrI 3641 0.568 0.52784
chrI 3664 1.052 0.9597
chrI 3675 1.117 1.03907
chrI 3687 1.071 0.94235
chrI 3688 0.625 0.55287
chrI 3714 0.723 0.50022
chrI 3715 1.013 0.70753
chrI 3752 0.735 0.49257
chrI 3764 1.99 1.4314
chrI 3773 0.832 0.57869
chrI 3796 0.979 0.74073
chrI 3804 1.092 0.78143
chrI 3867 1.108 0.76308
chrI 3897 0.868 0.48747
chrI 3905 2.257 1.17276
chrI 3916 2.313 1.22365
chrI 3936 1.248 0.71179
chrI 3944 1.221 0.67295
chrI 3953 1.875 0.97788
chrI 4006 1.941 1.13816
chrI 4016 1.173 0.65629
chrI 4038 1.043 0.71141
chrI 4066 2.279 1.4787
chrI 4077 3.063 1.84781
chrI 4086 0.975 0.62174
chrI 4091 0.929 0.62801
chrI 4128 1.259 0.76293
chrI 4137 2.55 1.626
chrI 4175 2.284 1.24867
chrI 4188 3.411 1.64349
chrI 4216 1.529 0.79468
chrI 4237 1.209 0.61306
chrI 4238 3.482 1.75326
chrI 4247 1.32 0.65576
chrI 4287 1.989 0.98435
chrI 4315 1.76 0.93122
chrI 4325 1.474 0.71012
chrI 4357 1.846 0.66872
chrI 4395 1.49 0.54115
chrI 4465 1.114 0.62794
chrI 4518 2.756 1.92516
chrI 4536 0.664 0.55713
chrI 4537 1.135 0.97512
chrI 4550 0.7 0.64242
chrI 4554 0.683 0.68769
chrI 4556 3.799 4.01959
chrI 4566 0.48 0.5478
chrI 4569 0.628 0.69468
chrI 4578 0.924 1.09695
chrI 4622 0.616 0.66151
chrI 4656 0.836 0.82518
chrI 4670 2.346 2.0755
chrI 4675 1.128 0.98612
chrI 4684 1.652 1.34772
chrI 4697 0.807 0.65127
chrI 4707 1.71 1.31386
chrI 4715 1.633 1.26794
chrI 4718 1.209 0.9148
chrI 4727 3.573 2.77465
chrI 4830 1.29 1.06406
chrI 4831 0.831 0.67054
chrI 4838 0.774 0.58838
chrI 4839 0.911 0.6891
chrI 4853 1.938 1.38019
chrI 4861 0.836 0.5523
chrI 4873 1.53 0.9546
chrI 4881 1.908 1.3016
chrI 4892 1.111 0.72711
chrI 4963 1.462 1.22668
chrI 4970 0.73 0.61634
chrI 4993 0.794 0.69447
chrI 5001 3.244 3.13638
chrI 5015 0.492 0.57891
chrI 5018 0.469 0.56112
chrI 5022 0.92 1.13841
chrI 5032 1.064 1.25264
chrI 5034 0.473 0.58049
chrI 5043 0.452 0.5886
chrI 5110 1.24 1.5611
chrI 5120 2.456 2.91577
chrI 5131 2.509 3.05246
chrI 5138 1.247 1.53035
chrI 5140 1.117 1.35913
chrI 5141 2.29 2.74098
chrI 5153 0.636 0.70893
chrI 5161 2.184 2.49065
chrI 5171 0.592 0.58038
chrI 5184 0.764 0.7151
chrI 5186 0.746 0.69408
chrI 5191 2.095 1.92414
chrI 5282 2.231 1.38006
chrI 5298 4.816 2.88164
chrI 5299 1.082 0.64474
chrI 5304 1.774 1.00007
chrI 5307 1.228 0.68971
chrI 5313 3.618 2.02361
chrI 5340 0.893 0.5571
chrI 5342 1.042 0.66117
chrI 5344 1.095 0.7045
chrI 5345 2.759 1.75914
chrI 5353 1.178 0.8188
chrI 5398 0.539 0.48248
chrI 5421 0.558 0.53954
chrI 5426 0.643 0.583
chrI 5435 0.986 0.81824
chrI 5453 1.068 0.66074
chrI 5455 1.953 1.21861
chrI 5484 6.67 4.04074
chrI 5493 1.354 0.83039
chrI 5496 1.15 0.72657
chrI 5501 1.246 0.83861
chrI 5503 2.206 1.51236
chrI 5504 0.889 0.61535
chrI 5513 0.705 0.50455
chrI 5514 0.924 0.67763
chrI 5622 0.889 0.51712
chrI 5631 2.098 1.10168
chrI 5641 0.94 0.4992
chrI 5644 1.683 0.8901
chrI 5646 1.182 0.61427
chrI 5656 1.039 0.52654
chrI 5660 1.468 0.70025
chrI 5661 2.86 1.32977
chrI 5667 2.905 1.28901
chrI 5675 2.397 0.99407
chrI 5696 1.374 0.62695
chrI 5800 2.775 1.1814
chrI 5806 2.708 1.23551
chrI 5807 1.425 0.66043
chrI 5817 2.809 1.53017
chrI 5818 2.374 1.30312
chrI 5832 1.669 1.04112
chrI 5839 2.647 1.68753
chrI 5853 1.352 0.90162
chrI 5909 0.656 0.58007
chrI 5961 2.437 1.89269
chrI 5967 1.52 1.16166
chrI 5970 1.175 0.91229
chrI 5973 0.848 0.66585
chrI 5981 1.56 1.20494
chrI 5988 0.6 0.49249
chrI 5990 0.925 0.78973
chrI 5991 0.699 0.60415
chrI 5996 0.985 0.86127
chrI 6012 1.599 1.70353
chrI 6019 0.421 0.53441
chrI 6070 0.484 0.9429
chrI 6123 4.724 7.83809
chrI 6126 0.341 0.56506
chrI 6129 0.679 1.08908
chrI 6131 0.643 1.00936
chrI 6132 2.393 3.7175
chrI 6135 2.547 3.79507
chrI 6142 0.926 1.25121
chrI 6151 1.203 1.59636
chrI 6155 1.191 1.44915
chrI 6159 0.945 1.10334
chrI 6179 0.62 0.73044
chrI 6274 0.337 0.48289
chrI 6287 0.368 0.55449
chrI 6288 0.383 0.56488
chrI 6290 2.161 3.18756
chrI 6295 1.201 1.75358
chrI 6297 0.776 1.12202
chrI 6298 1.495 2.20545
chrI 6305 0.361 0.52208
chrI 6307 1.334 1.92889
chrI 6309 0.487 0.69007
chrI 6319 0.441 0.50641
chrI 6336 0.666 0.66151
chrI 6518 0.526 0.59495
chrI 6583 0.525 0.87132
chrI 6597 2.345 4.07558
chrI 6603 1.304 2.21418
chrI 6604 0.309 0.53084
chrI 6610 0.367 0.68699
chrI 6611 0.481 0.91174
chrI 6619 0.408 0.81633
chrI 6640 0.352 0.66704
chrI 6650 0.266 0.49247
chrI 6660 0.393 0.74518
chrI 6671 0.314 0.6271
chrI 6678 0.372 0.74386
chrI 6700 0.278 0.55616
chrI 6712 0.557 1.11404
chrI 6721 0.858 1.7163
chrI 6758 1.602 2.78394
chrI 6769 0.792 1.09065
chrI 6778 5.042 6.75313
chrI 6780 0.733 1.00946
chrI 6781 0.623 0.86624
chrI 6790 0.448 0.64062
chrI 6826 0.46 0.52485
chrI 6834 1.168 1.26305
chrI 6895 0.586 0.5738
chrI 6907 0.588 0.58428
chrI 6926 1.423 1.48364
chrI 6938 1.522 1.53237
chrI 6947 1.109 1.19895
chrI 6948 0.844 0.91231
chrI 6965 0.522 0.58127
chrI 6967 0.537 0.61284
chrI 7000 0.533 0.75572
chrI 7023 0.365 0.68242
chrI 7056 0.35 0.69969
chrI 7062 0.266 0.53114
chrI 7065 0.242 0.48391
chrI 7075 0.273 0.54628
chrI 7093 0.519 1.03864
chrI 7106 0.3 0.60019
chrI 7118 0.347 0.69305
chrI 7119 0.398 0.79688
chrI 7121 1.048 2.09511
chrI 7128 0.454 0.90887
chrI 7135 0.267 0.53421
chrI 7138 2.033 4.0666
chrI 7151 0.821 1.64231
chrI 7171 0.42 0.75745
chrI 7187 0.368 0.66325
chrI 7230 0.491 0.80489
chrI 7233 0.526 0.83415
chrI 7236 0.457 0.70237
chrI 7254 0.598 0.74017
chrI 7304 0.825 0.5378
chrI 7311 1.431 0.96287
chrI 7315 0.916 0.62508
chrI 7335 1.523 0.91133
chrI 7443 1.851 0.66906
chrI 7485 4.573 1.42662
chrI 7573 2.301 0.60964
chrI 7619 7.278 1.75334
chrI 7626 2.958 0.7283
chrI 7647 4.672 1.21586
chrI 7684 2.482 0.59222
chrI 7713 2.892 0.73818
chrI 7722 2.155 0.59142
chrI 7733 3.809 1.12337
chrI 7752 1.93 0.60715
chrI 7778 3.499 1.22225
chrI 7783 4.37 1.54848
chrI 7784 4.724 1.65409
chrI 7805 1.763 0.75719
chrI 7806 1.525 0.65693
chrI 7875 1.51 0.81667
chrI 7886 1.966 1.15721
chrI 7898 1.923 1.2762
chrI 7907 0.974 0.72521
chrI 7916 1.454 1.15334
chrI 7928 3.551 2.9127
chrI 7935 3.053 2.57635
chrI 7948 1.213 0.99461
chrI 7999 1.33 0.96582
chrI 8006 1 0.76853
chrI 8028 0.931 0.62665
chrI 8037 0.927 0.58601
chrI 8038 0.847 0.53043
chrI 8143 2.536 0.74204
chrI 8164 2.233 0.66001
chrI 8196 3.585 1.2987
chrI 8286 2.77 0.996
chrI 8294 1.612 0.60641
chrI 8314 2.114 0.82522
chrI 8316 2.834 1.09451
chrI 8334 3.457 1.45885
chrI 8343 3.743 1.52655
chrI 8413 1.651 0.75781
chrI 8458 3.943 1.816
chrI 8465 7.342 3.59688
chrI 8467 1.461 0.70414
chrI 8479 1.181 0.5389
chrI 8494 2.121 1.07875
chrI 8495 2.033 1.04865
chrI 8601 0.843 0.53522
chrI 8606 3.144 2.0042
chrI 8619 3.498 2.12799
chrI 8630 4.155 2.63778
chrI 8650 6.027 3.59183
chrI 8769 0.896 0.54727
chrI 8779 1.342 0.77161
chrI 8789 4.179 2.46014
chrI 8805 0.947 0.49717
chrI 8820 1.294 0.6361
chrI 8832 2.956 1.43375
chrI 8843 0.888 0.48763
chrI 8891 0.763 0.57438
chrI 8922 1.122 0.79169
chrI 8936 0.736 0.4975
chrI 8941 1.091 0.73043
chrI 8961 1.193 0.71955
chrI 8970 1.782 1.07524
chrI 8983 1.573 0.86689
chrI 8995 0.921 0.5273
chrI 9014 1.167 0.64779
chrI 9053 1.022 0.54248
chrI 9081 1.932 1.02199
chrI 9132 1.661 1.02326
chrI 9140 1.846 1.06978
chrI 9196 1.241 0.67366
chrI 9217 1.234 0.69025
chrI 9297 3.138 1.75519
chrI 9298 1.99 1.11345
chrI 9307 2.145 1.18163
chrI 9379 1.365 0.67102
chrI 9388 1.575 0.76148
chrI 9400 4.06 2.04419
chrI 9408 3.764 1.78423
chrI 9460 2.795 1.05726
chrI 9473 1.366 0.50239
chrI 9480 1.507 0.54472
chrI 9525 1.724 0.54234
chrI 9551 2.954 0.92355
chrI 9569 2.777 0.94055
chrI 9600 5.016 1.82641
chrI 9612 3.24 1.24173
chrI 9641 2.124 0.86142
chrI 9754 3.008 1.42123
chrI 9756 1.045 0.50664
chrI 9767 1.791 0.99786
chrI 9768 1.255 0.7131
chrI 9777 1.453 0.96843
chrI 9780 1.779 1.23063
chrI 9861 0.632 0.78846
chrI 9862 0.597 0.73806
chrI 9892 0.756 0.9045
chrI 9902 0.466 0.54047
chrI 9903 0.469 0.53917
chrI 9912 0.435 0.49672
chrI 9921 1.681 1.85912
chrI 9930 2.218 2.59067
chrI 9932 0.494 0.60156
chrI 9934 1 1.20657
chrI 9941 2.5 3.06672
chrI 9942 0.774 0.9573
chrI 9953 0.443 0.55784
chrI 10033 0.851 1.07125
chrI 10050 0.7 0.79268
chrI 10071 0.789 0.73356
chrI 10090 0.655 0.51389
chrI 10092 1.2 0.93721
chrI 10102 0.912 0.71976
chrI 10133 0.789 0.6736
chrI 10147 0.838 0.69902
chrI 10203 0.864 0.65033
chrI 10204 0.833 0.63316
chrI 10221 1.656 1.34332
chrI 10297 1.656 1.40529
chrI 10319 1.013 0.91892
chrI 10382 1.075 1.10479
chrI 10388 0.969 0.98279
chrI 10393 0.74 0.75573
chrI 10397 0.526 0.53286
chrI 10432 1.974 1.52456
chrI 10455 1.11 1.00686
chrI 10463 2.874 2.79727
chrI 10468 0.702 0.74319
chrI 10477 0.598 0.67213
chrI 10550 1.081 1.12683
chrI 10558 0.51 0.52482
chrI 10586 0.658 0.74486
chrI 10588 0.678 0.77914
chrI 10591 0.445 0.50353
chrI 10610 0.816 0.87563
chrI 10617 0.479 0.53761
chrI 10619 0.756 0.86193
chrI 10628 4.752 5.55023
chrI 10660 0.451 0.65835
chrI 10751 1.861 1.79961
chrI 10758 0.619 0.60219
chrI 10763 0.984 0.88122
chrI 10781 1.239 1.03372
chrI 10783 0.652 0.55378
chrI 10792 3.813 3.0418
chrI 10794 0.789 0.64346
chrI 10796 1.43 1.15975
chrI 10798 1.282 1.02266
chrI 10801 0.97 0.76582
chrI 10804 1.147 0.87205
chrI 10926 1.717 1.1715
chrI 10935 1.237 0.91213
chrI 10946 1.54 1.15312
chrI 10949 1.292 0.99808
chrI 10950 0.781 0.60628
chrI 10957 3.767 3.12517
chrI 10962 0.932 0.84558
chrI 10965 0.93 0.88211
chrI 10966 1.76 1.67944
chrI 11054 0.43 0.5505
chrI 11073 1.378 1.82912
chrI 11082 0.537 0.7401
chrI 11090 0.614 0.88711
chrI 11093 0.75 1.15284
chrI 11096 0.376 0.59052
chrI 11103 0.518 0.9337
chrI 11104 0.726 1.32444
chrI 11109 0.565 0.99375
chrI 11110 0.66 1.14726
chrI 11119 0.417 0.8337
chrI 11120 0.486 0.97214
chrI 11124 0.279 0.55856
chrI 11125 0.95 1.89907
chrI 11126 0.294 0.58896
chrI 11138 0.75 1.50057
chrI 11210 0.263 0.52512
chrI 11289 0.483 0.96521
chrI 11292 0.343 0.68688
chrI 11300 0.538 1.07658
chrI 11328 0.435 0.81463
chrI 11345 0.587 1.08435
chrI 11360 1.206 2.20185
chrI 11365 0.388 0.77554
chrI 11372 1.023 2.04545
chrI 11373 0.326 0.6512
chrI 11377 0.306 0.61188
chrI 11453 0.383 0.68233
chrI 11472 0.799 0.97257
chrI 11478 1.414 1.61242
chrI 11487 0.499 0.496
chrI 11508 1.679 1.08952
chrI 11510 0.851 0.53805
chrI 11519 5.008 2.7489
chrI 11521 1.399 0.77664
chrI 11531 1.18 0.62396
chrI 11532 0.928 0.4874
chrI 11552 3.409 1.47672
chrI 11670 2.188 0.67394
chrI 11673 2.691 0.81176
chrI 11680 4.316 1.24038
chrI 11683 1.943 0.54977
chrI 11702 6.452 1.87265
chrI 11711 7.038 2.051
chrI 11721 2.678 0.83203
chrI 11758 1.169 0.54883
chrI 11788 1.021 0.51218
chrI 11836 1.036 0.48963
chrI 11844 1.511 0.7352
chrI 11845 3.344 1.66649
chrI 11846 1.506 0.75305
chrI 11859 8.022 3.94338
chrI 11862 2.404 1.17397
chrI 11997 2.532 1.04429
chrI 12006 3.575 1.56283
chrI 12008 1.368 0.59265
chrI 12009 1.266 0.54681
chrI 12012 1.174 0.52409
chrI 12015 2.821 1.22203
chrI 12019 10.842 4.7392
chrI 12028 1.83 0.77878
chrI 12079 1.41 0.70731
chrI 12150 4.363 1.4953
chrI 12162 2.81 1.00568
chrI 12171 11.481 3.79252
chrI 12174 2.082 0.68604
chrI 12181 10.569 3.34733
chrI 12247 3.266 1.08134
chrI 12342 2.352 0.6966
chrI 12345 3.021 0.88566
chrI 12347 1.865 0.54998
chrI 12354 3.173 0.89079
chrI 12366 2.709 0.72318
chrI 12373 2.661 0.69134
chrI 12405 2.645 0.85431
chrI 12436 1.721 0.58697
chrI 12508 3.711 0.88965
chrI 12544 3.245 0.61938
chrI 12556 3.928 0.69007
chrI 12620 3.214 0.8804
chrI 12700 1.882 0.55391
chrI 12764 2.303 0.65165
chrI 12781 1.632 0.52237
chrI 12796 1.338 0.50732
chrI 12829 1.778 0.82408
chrI 12853 1.697 1.01522
chrI 12894 1.059 0.65247
chrI 12903 0.848 0.53392
chrI 12948 0.87 0.53155
chrI 12961 1.036 0.73759
chrI 12976 0.835 0.65884
chrI 12993 2.769 2.05179
chrI 13021 0.967 0.80215
chrI 13073 0.693 0.60591
chrI 13096 0.866 0.64845
chrI 13099 0.887 0.62575
chrI 13118 1.374 0.78676
chrI 13179 2.654 0.81248
chrI 13192 2.01 0.55568
chrI 13221 2.325 0.4926
chrI 13276 4.848 0.97772
chrI 13323 2.967 0.50671
chrI 13352 5.962 0.91046
chrI 13369 4.046 0.63118
chrI 13384 3.443 0.55669
chrI 13385 3.441 0.55455
chrI 13446 3.373 0.65138
chrI 13529 5.581 1.15914
chrI 13559 5.752 1.13938
chrI 13661 2.007 0.67985
chrI 13672 1.972 0.78025
chrI 13796 1.067 1.20815
chrI 13801 0.575 0.70013
chrI 13803 0.941 1.15464
chrI 13812 0.389 0.48515
chrI 13815 0.48 0.59945
chrI 13832 1.157 1.48212
chrI 13844 0.379 0.58232
chrI 13861 0.423 0.71752
chrI 13862 2.293 3.9851
chrI 13874 0.72 1.34763
chrI 13883 0.566 1.13165
chrI 13884 0.249 0.49866
chrI 13919 0.247 0.49335
chrI 13971 0.531 0.80831
chrI 13986 0.409 0.60928
chrI 13990 0.833 1.18131
chrI 14002 2.605 3.2226
chrI 14013 1.763 1.9804
chrI 14021 6.336 6.85248
chrI 14022 2.645 2.86075
chrI 14033 2.935 3.03877
chrI 14042 0.562 0.60342
chrI 14155 0.577 0.58907
chrI 14167 1.937 1.89789
chrI 14174 1.099 1.02893
chrI 14176 0.929 0.86973
chrI 14183 0.736 0.61079
chrI 14186 4.265 3.38405
chrI 14193 4.228 3.19814
chrI 14205 0.742 0.51321
chrI 14226 0.935 0.69999
chrI 14307 0.904 0.5454
chrI 14349 1.492 0.59825
chrI 14360 2.572 1.04323
chrI 14361 1.229 0.50554
chrI 14375 2.016 0.87329
chrI 14395 0.954 0.48521
chrI 14414 1.905 1.22513
chrI 14445 2.041 1.53637
chrI 14482 1.938 1.39357
chrI 14495 1.19 0.97595
chrI 14514 1.331 0.97665
chrI 14524 0.668 0.51604
chrI 14526 2.038 1.59963
chrI 14533 1.122 0.89547
chrI 14534 2.647 2.13498
chrI 14545 1.351 0.98161
chrI 14555 1.003 0.68458
chrI 14577 0.87 0.59102
chrI 14586 1.674 1.23406
chrI 14625 1.592 1.67262
chrI 14632 2.045 1.96453
chrI 14645 1.027 0.88193
chrI 14662 1.126 1.11039
chrI 14714 0.545 0.65278
chrI 14717 0.474 0.57248
chrI 14739 0.323 0.50243
chrI 14748 0.498 0.84523
chrI 14750 0.647 1.12414
chrI 14850 0.312 0.62416
chrI 14878 0.522 1.04322
chrI 14971 0.408 0.81571
chrI 14983 0.412 0.82431
chrI 14991 0.316 0.63212
chrI 15009 0.268 0.53615
chrI 15015 0.457 0.9136
chrI 15019 0.284 0.56731
chrI 15035 0.259 0.51741
chrI 15072 0.45 0.90015
chrI 15100 0.989 1.97817
chrI 15101 0.283 0.56556
chrI 15102 0.315 0.63075
chrI 15145 0.572 0.58847
chrI 15164 0.858 0.72024
chrI 15184 1.25 1.07356
chrI 15208 1.402 1.20376
chrI 15214 1.471 1.24897
chrI 15216 0.717 0.6232
chrI 15227 0.52 0.48368
chrI 15258 1.027 0.98604
chrI 15300 0.886 0.85704
chrI 15318 0.578 0.51174
chrI 15319 0.722 0.6386
chrI 15338 1.221 1.00752
chrI 15350 1.019 0.80438
chrI 15377 0.687 0.62288
chrI 15380 2.635 2.31732
chrI 15381 0.668 0.59501
chrI 15389 4.043 3.66642
chrI 15409 1.196 1.15679
chrI 15451 1.6 1.46911
chrI 15492 0.737 0.56948
chrI 15520 1.424 0.86289
chrI 15531 3.074 1.92612
chrI 15532 0.818 0.51505
chrI 15540 1.148 0.74519
chrI 15553 2.629 1.72106
chrI 15564 2.124 1.37809
chrI 15592 0.864 0.70057
chrI 15664 0.392 0.49395
chrI 15673 1.638 2.15417
chrI 15694 1.865 2.80643
chrI 15703 0.63 0.99933
chrI 15705 0.559 0.90759
chrI 15710 0.324 0.54435
chrI 15713 1.722 2.82445
chrI 15733 1.161 1.82191
chrI 15785 0.603 1.206
chrI 15797 0.461 0.9217
chrI 15821 0.335 0.67037
chrI 15836 0.38 0.75932
chrI 15850 0.61 1.14152
chrI 15858 0.414 0.77491
chrI 15870 0.675 1.23229
chrI 15871 0.609 1.11124
chrI 15877 0.29 0.57987
chrI 15880 1.197 2.39472
chrI 15883 0.244 0.48821
chrI 15892 0.474 0.94889
chrI 15901 2.533 5.06536
chrI 15910 0.385 0.76988
chrI 15913 0.763 1.52652
chrI 15917 0.291 0.58182
chrI 15920 0.419 0.83714
chrI 15942 0.266 0.53197
chrI 15943 0.288 0.5755
chrI 16010 0.344 0.68899
chrI 16011 0.312 0.62313
chrI 16021 0.352 0.70432
chrI 16035 0.357 0.68669
chrI 16039 0.352 0.68484
chrI 16042 0.478 0.93097
chrI 16043 0.717 1.37685
chrI 16044 0.958 1.8156
chrI 16045 0.295 0.55851
chrI 16047 0.592 1.06788
chrI 16048 0.449 0.81017
chrI 16049 0.717 1.27641
chrI 16051 0.961 1.73255
chrI 16052 4.391 7.91507
chrI 16054 1.316 2.40193
chrI 16060 0.525 0.8517
chrI 16061 1.118 1.77367
chrI 16063 0.347 0.51666
chrI 16074 0.436 0.51296
chrI 16079 0.782 0.84002
chrI 16081 0.991 1.04821
chrI 16095 0.805 0.72117
