Chromosome Position NCPscore Ratio
chrI 45466 0.474 0.6651
chrI 45578 0.591 1.18168
chrI 45782 2.952 2.23337
chrI 45956 4.283 2.37745
chrI 46162 2.716 0.71567
chrI 46286 6.324 1.5755
chrI 46576 3.487 0.94451
chrI 46750 6.007 1.74363
chrI 46907 4.093 2.28975
chrI 47130 4.921 2.6807
chrI 47311 3.567 1.21401
chrI 47477 3.732 1.38984
chrI 47645 1.876 0.73224
chrI 47776 1.879 0.92347
chrI 47939 3.748 1.76538
chrI 48086 3.141 0.93781
chrI 48254 3.97 2.24672
chrI 48597 1.168 0.55362
chrI 48746 3.15 0.9805
chrI 48941 6.345 1.59432
chrI 49134 3.139 0.9507
chrI 49265 3.255 2.02226
chrI 49415 3.544 1.2407
chrI 49625 3.562 1.94034
chrI 49746 3.517 2.18478
chrI 49926 2.244 1.19546
chrI 50056 3.01 1.37311
chrI 50238 3.663 1.08049
chrI 50396 3.41 1.37518
chrI 50531 4.466 2.72839
chrI 50677 4.279 1.4946
chrI 50883 5.2 1.64336
chrI 51009 4.64 1.374
chrI 51173 4.631 1.69018
chrI 51285 1.754 0.69772
chrI 51410 4.254 1.16319
chrI 51585 2.571 0.81251
chrI 51749 1.665 0.98837
chrI 51883 1.419 0.91665
chrI 52096 2.397 0.89057
chrI 52280 7.219 3.19391
chrI 52446 9.279 4.26012
chrI 52591 6.13 3.27828
chrI 52848 2.651 2.49692
chrI 53066 4.013 1.38512
chrI 53223 5.252 2.3235
chrI 53557 4.678 1.32114
chrI 53730 6.981 1.82323
chrI 53914 8.093 3.95185
chrI 54075 17.531 14.14102
chrI 54227 9.552 7.62089
chrI 54392 8.374 3.23431
chrI 54575 9.776 3.35838
chrI 54735 9.309 4.97831
chrI 54974 5.652 5.50143
chrI 55137 4.34 2.0914
chrI 55331 2.158 1.72133
chrI 55476 4.155 3.96484
chrI 55627 4.094 5.53479
chrI 55797 4.299 8.59812
chrI 55966 7.521 6.7778
chrI 56124 3.649 2.22906
chrI 56335 2.378 2.10452
chrI 56478 6.264 4.35464
chrI 56650 6.429 2.68967
chrI 56818 2.615 1.303
chrI 57027 8.911 6.81162
chrI 57188 19.8 11.11831
chrI 57338 9.091 6.98539
chrI 57545 3.481 3.70994
chrI 57723 2.056 0.83625
chrI 57905 1.881 1.01692
chrI 58068 3.715 0.90706
chrI 58176 4.337 1.07687
chrI 58288 4.159 0.72722
chrI 58472 7.351 2.24068
chrI 58675 3.004 1.17907
chrI 58815 3.673 1.12894
chrI 59044 3.23 1.36696
chrI 59200 2.982 0.94437
chrI 59374 1.697 0.71214
chrI 59500 0.97 0.49
chrI 59612 7.829 3.50612
chrI 59765 3.937 0.81297
chrI 59892 6.47 1.53354
chrI 60063 5.848 2.51848
chrI 60236 3.265 1.4668
chrI 60408 4.666 1.40158
chrI 60550 9.187 2.18461
chrI 60707 7.627 1.60448
chrI 60880 12.695 3.0041
chrI 61039 8.618 3.53443
chrI 61188 0.514 0.51041
chrI 61315 5.56 1.73446
chrI 61510 5.536 1.29744
chrI 61666 4.757 1.15368
chrI 61811 3.833 1.14689
chrI 61999 1.883 0.76352
chrI 62121 1.628 0.74739
chrI 62238 3.453 1.33734
chrI 62378 5.54 1.74698
chrI 62529 3.075 1.63831
chrI 62649 1.921 1.65934
chrI 62815 6.609 3.52168
chrI 62967 4.692 1.80742
chrI 63144 10.608 3.48816
chrI 63319 11.054 4.35004
chrI 63455 14.832 7.84569
chrI 63613 7.012 4.63219
chrI 63772 2.729 3.4349
chrI 63942 4.165 2.77696
chrI 64080 2.589 1.13521
chrI 64273 2.608 1.74681
chrI 64402 3.541 1.22522
chrI 64586 4.966 0.95272
chrI 64749 3.513 1.47808
chrI 64869 1.562 0.66487
chrI 64999 3.008 1.31113
chrI 65153 2.873 3.6159
chrI 65276 1.739 1.30186
chrI 65505 1.637 1.19509
chrI 65700 1.163 2.32519
chrI 65821 1.369 1.13572
chrI 66012 2.123 1.05068
chrI 66133 3.04 1.20262
chrI 66286 1.845 1.04786
chrI 66415 1.882 1.73892
chrI 66532 1.278 0.80109
chrI 66676 2.376 1.06078
chrI 66789 2.353 0.71576
chrI 67068 4.086 1.55746
chrI 67315 5.171 1.04564
chrI 67500 4.128 0.88633
chrI 67658 2.864 0.9419
chrI 67807 1.589 1.37306
chrI 68045 0.622 0.72027
chrI 68190 0.482 0.48842
chrI 68404 1.101 1.50292
chrI 68531 2.186 2.98319
chrI 69068 3.675 0.96512
chrI 69230 4.912 1.19727
chrI 69398 7.287 1.6268
chrI 69572 2.819 1.70071
chrI 69742 0.482 0.96399
chrI 69905 2.332 1.57605
chrI 70076 2.031 0.66192
chrI 70253 1.905 1.93153
chrI 70363 0.332 0.66436
chrI 70493 0.687 1.37358
chrI 70666 1.569 2.31408
chrI 70797 1.104 2.20708
chrI 70965 0.243 0.48691
chrI 71171 0.493 0.71265
chrI 71364 1.334 0.60467
chrI 71506 0.357 0.71447
chrI 71733 0.702 0.86918
chrI 71969 3.567 0.87666
chrI 72175 2.216 0.6395
chrI 72317 2.711 0.78524
chrI 72487 2.324 0.74232
chrI 72664 3.138 0.81529
chrI 72898 2.365 0.49469
chrI 73070 1.669 0.49427
chrI 73277 0.538 0.78557
chrI 73404 1.209 2.41704
chrI 73566 4.825 5.06823
chrI 73681 1.935 1.89652
chrI 73876 2.712 2.4288
chrI 74056 8.55 4.64048
chrI 74235 2.878 0.97508
chrI 74427 3.502 0.95042
chrI 74614 2.766 1.10937
chrI 74752 2.116 1.70654
chrI 74976 1.507 3.01392
chrI 75108 3.1 1.79619
chrI 75348 3.954 1.07111
chrI 75560 3.792 1.48015
chrI 75701 5.576 2.4746
chrI 75814 5.186 1.72881
chrI 75998 7.058 4.15494
chrI 76170 3.608 4.4271
chrI 76312 0.333 0.60688
chrI 76450 13.703 22.4796
chrI 76614 12.034 6.41245
chrI 76754 4.242 3.06583
chrI 76916 4.905 2.80859
chrI 77069 5.101 2.6409
chrI 77263 6.117 3.50204
chrI 77431 7.004 4.20839
chrI 77591 7.147 4.74326
chrI 77723 3.779 1.67701
chrI 77894 7.712 3.00252
chrI 78057 2.096 0.73925
chrI 78283 5.733 1.84349
chrI 78468 6.525 1.47465
chrI 78633 3.451 0.85547
chrI 78872 4.843 1.73308
chrI 78980 2.394 0.77329
chrI 79123 4.623 1.32076
chrI 79240 2.409 0.52331
chrI 79355 5.549 1.98554
chrI 79497 2.105 1.40357
chrI 79737 8.554 5.80893
chrI 79898 5.631 3.26256
chrI 80071 5.978 4.45267
chrI 80190 3.131 1.54948
chrI 80363 4.29 1.07796
chrI 80474 2.473 0.79866
chrI 80617 3.241 1.03306
chrI 80793 2.826 1.29342
chrI 80954 1.841 0.64455
chrI 81185 2.435 0.71239
chrI 81432 1.58 0.50364
chrI 81558 3.958 0.84737
chrI 81781 2.607 0.94906
chrI 81960 1.078 0.54295
chrI 82070 1.208 0.69438
chrI 82250 3.913 2.07722
chrI 82359 5.584 2.39073
chrI 82542 2.639 1.83442
chrI 82763 8.133 8.42166
chrI 82917 10.576 4.56829
chrI 83059 1.907 0.79108
chrI 83247 2.593 2.10306
chrI 83384 1.181 0.50842
chrI 83620 3.338 1.17419
chrI 83775 3.597 1.00416
chrI 83940 5.006 1.3636
chrI 84087 3.955 1.14126
chrI 84283 6.105 2.09719
chrI 84443 5.525 5.97511
chrI 84608 0.561 1.05004
chrI 84719 4.564 5.01038
chrI 84890 9.119 3.17008
chrI 85057 4.862 1.18117
chrI 85242 3.415 1.12042
chrI 85396 6.195 2.08396
chrI 85571 7.167 3.62067
chrI 85741 8.776 6.31171
chrI 85902 3.496 3.29316
chrI 86073 5.504 3.53983
chrI 86197 8.405 4.27566
chrI 86395 6.548 3.5806
chrI 86548 5.207 1.90063
chrI 86687 16.484 6.04671
chrI 86871 16.028 10.21862
chrI 87032 6.363 7.20151
chrI 87310 6.604 4.86971
chrI 87480 4.461 2.46696
chrI 87640 6.761 2.30096
chrI 87815 2.947 1.84682
chrI 88010 1.699 1.21032
chrI 88158 3.139 2.6958
chrI 88307 1.35 0.68456
chrI 88420 2.739 2.45366
chrI 88563 3.383 3.65889
chrI 88685 2.428 1.25265
chrI 88827 2.478 0.92535
chrI 88994 3.328 1.71692
chrI 89214 4.692 1.78376
chrI 89405 5.767 1.85866
chrI 89568 4.227 1.52751
chrI 89743 6.734 2.06991
chrI 89944 4.063 2.08884
chrI 90077 4.551 2.95304
chrI 90211 7.646 7.29597
chrI 90365 1.934 3.03588
chrI 90547 1.507 1.48689
chrI 90696 1.721 0.99681
chrI 90848 2.192 1.21206
chrI 91007 1.767 0.95188
chrI 91149 2.478 1.29678
chrI 91331 3.947 1.72014
chrI 91477 3.989 2.23988
chrI 91604 2.795 1.8632
chrI 91783 3.436 1.17764
chrI 91914 8.149 2.33756
chrI 92089 6.626 2.15946
chrI 92251 2.398 2.41406
chrI 92372 0.294 0.58806
chrI 92493 0.808 1.61508
chrI 92626 0.356 0.71127
chrI 92894 4.6 2.49649
chrI 93089 11.701 3.30443
chrI 93250 11.565 2.28788
chrI 93380 9.618 2.80296
chrI 93548 6.357 2.70601
chrI 93767 2.055 1.10694
chrI 93940 2.988 1.43988
chrI 94091 2.936 1.25725
chrI 94252 2.872 1.17117
chrI 94426 1.993 1.59036
chrI 94659 4.643 2.80136
chrI 94811 3.378 1.19695
chrI 95000 3.079 0.94453
chrI 95177 4.25 1.95721
chrI 95360 3.128 1.41824
chrI 95539 3.634 3.25522
chrI 95671 1.185 1.17737
chrI 95873 1.103 0.77404
chrI 95999 0.853 0.55361
chrI 96188 2.205 0.8941
chrI 96368 3.867 1.40097
chrI 96536 2.867 1.19252
chrI 96732 2.2 0.95327
chrI 96898 5.18 1.59901
chrI 97017 3.224 0.77813
chrI 97194 4.467 1.20327
chrI 97338 4.956 1.37029
chrI 97450 3.577 1.03009
chrI 97672 5.203 2.07538
chrI 97797 7.151 2.59056
chrI 97958 8.747 3.60746
chrI 98109 3.913 2.8142
chrI 98299 4.149 1.84692
chrI 98430 4.364 1.51704
chrI 98590 5.623 2.20682
chrI 98791 1.886 1.57341
chrI 98922 4.101 2.59189
chrI 99065 6.157 3.89145
chrI 99247 7.945 4.46122
chrI 99396 6.41 4.12257
chrI 99556 3.896 2.4836
chrI 99739 7.651 12.2758
chrI 100038 1.208 2.41567
chrI 100194 2.626 1.42514
chrI 100325 10.935 4.97337
chrI 100491 5.06 2.62924
chrI 100653 9.155 5.10138
chrI 100815 7.018 4.03377
chrI 100978 1.982 1.1958
chrI 101143 2.116 4.23102
chrI 101464 2.415 4.1981
chrI 101622 4.081 2.63635
chrI 101798 5.136 2.4269
chrI 101969 4.752 1.84532
chrI 102118 4.014 2.35334
chrI 102337 3.414 1.2157
chrI 102454 2.513 1.27386
chrI 102570 5.123 2.7102
chrI 102679 4.005 1.51082
chrI 102887 4.626 1.54557
chrI 103045 2.841 1.37341
chrI 103227 4.079 1.46318
chrI 103386 4.865 1.51768
chrI 103587 9.326 2.50758
chrI 103765 4.902 1.72873
chrI 103875 1.286 0.54898
chrI 103997 4.054 1.99947
chrI 104125 2.968 1.09702
chrI 104303 10.502 4.14395
chrI 104453 3.313 1.08466
chrI 104644 4.256 2.0993
chrI 104793 14.433 5.06549
chrI 104967 6.968 2.25562
chrI 105112 3.209 1.64983
chrI 105268 2.264 1.6529
chrI 105428 5.176 3.93583
chrI 105592 6.162 4.28396
chrI 105754 3.949 3.69574
chrI 105924 4.554 5.78137
chrI 106196 5.454 10.90747
chrI 106374 6.475 1.87943
chrI 106548 10.905 2.78336
chrI 106659 4.184 1.20257
chrI 106911 6.993 2.20049
chrI 107085 3.604 1.39944
chrI 107277 2.974 0.75508
chrI 107440 5.584 1.71623
chrI 107601 8.422 2.67294
chrI 107816 2.766 1.03031
chrI 107959 2.834 0.8766
chrI 108094 2.768 1.40804
chrI 108318 2.326 1.19177
chrI 108447 1.57 0.85853
chrI 108623 3.009 3.27823
chrI 108780 0.843 1.64043
chrI 108924 6.898 3.75775
chrI 109087 14.393 4.39617
chrI 109266 9.555 3.03932
chrI 109426 10.593 4.09131
chrI 109587 5.184 1.9306
chrI 109751 4.318 1.174
chrI 109911 13.86 4.37064
chrI 110086 5.269 1.98278
chrI 110245 9.994 5.59041
chrI 110406 6.343 4.7493
chrI 110652 1.396 2.79112
chrI 110850 5.954 2.64238
chrI 111023 5.183 1.65594
chrI 111179 2.974 1.38736
chrI 111301 3.884 1.4541
chrI 111459 3.185 0.96464
chrI 111608 3.532 1.11622
chrI 111910 3.523 1.02652
chrI 112120 2.395 0.99329
chrI 112408 5.452 1.22835
chrI 112566 5.581 1.28317
chrI 112697 2.27 0.75504
chrI 112856 3.773 1.20007
chrI 113004 5.994 1.71585
chrI 113185 9.78 2.43242
chrI 113357 9.295 3.44448
chrI 113614 13.798 5.35764
chrI 113782 9.422 2.91442
chrI 113935 7.433 2.37451
chrI 114098 2.173 0.6707
chrI 114252 4.785 1.30349
chrI 114422 7.332 1.58582
chrI 114593 7.934 2.45401
chrI 114863 20.03 13.53846
chrI 115026 6.137 2.38936
chrI 115204 15.615 6.97174
chrI 115354 15.778 6.95959
chrI 115539 4.352 1.27601
chrI 115680 7.06 2.45436
chrI 115849 6.446 2.38264
chrI 116013 8.72 2.94033
chrI 116172 9.494 2.34144
chrI 116325 11.654 3.74789
chrI 116470 4.105 1.18198
chrI 116663 3.041 1.25419
chrI 116794 2.268 1.23096
chrI 116968 1.862 1.52753
chrI 117141 3.921 2.02985
chrI 117305 4.094 1.16506
chrI 117448 8.786 3.48594
chrI 117608 3.23 1.18801
chrI 117727 4.057 1.55042
chrI 117889 4.685 2.35875
chrI 118141 2.393 0.97032
chrI 118257 2.257 1.6814
chrI 118370 0.315 0.62966
chrI 118521 2.986 2.88693
chrI 118733 3.132 1.82893
chrI 118908 3.842 2.13265
chrI 119085 10.2 5.24359
chrI 119244 14.951 5.13628
chrI 119426 19.886 9.36553
chrI 119589 3.857 3.88372
chrI 119739 0.728 1.45543
chrI 119915 9.236 10.4526
chrI 120087 6.463 7.20354
chrI 120227 1.263 0.64471
chrI 120448 3.158 1.71404
chrI 120564 1.18 0.52546
chrI 120707 6.957 2.96138
chrI 120877 2.441 1.05148
chrI 121041 1.747 0.76151
chrI 121202 3.255 1.26398
chrI 121362 2.191 1.21165
chrI 121512 3.878 1.97966
chrI 121680 13.519 6.87745
chrI 121829 4.223 2.56884
chrI 121989 2.426 1.45182
chrI 122101 2.61 1.5364
chrI 122295 1.306 0.57776
chrI 122408 2.76 1.4704
chrI 122552 0.743 0.6651
chrI 122689 1.015 1.02921
chrI 122822 2.085 1.47076
chrI 123000 4.297 2.02356
chrI 123151 2.666 1.31493
chrI 123324 3.06 2.15849
chrI 123500 2.921 1.15572
chrI 123643 4.184 2.22153
chrI 123774 1.314 0.86413
chrI 123884 1.774 0.78026
chrI 124038 5.164 1.52933
chrI 124211 4.795 2.07103
chrI 124393 1.662 1.85192
chrI 124573 1.391 2.7814
chrI 124694 0.43 0.62205
chrI 124831 11.802 4.58274
chrI 125023 7.882 3.29752
chrI 125154 10.774 4.7239
chrI 125348 4.703 3.01126
chrI 125479 4.527 2.3522
chrI 125631 5.879 3.14417
chrI 125763 3.809 1.75412
chrI 125946 1.684 0.52772
chrI 126061 3.428 1.19149
chrI 126245 1.405 0.51148
chrI 126366 2.988 1.48881
chrI 126527 5.17 1.7432
chrI 126686 5.176 2.22934
chrI 126849 1.69 2.44328
chrI 127010 3.028 1.05001
chrI 127164 6.762 1.66768
chrI 127362 3.371 0.89982
chrI 127509 2.198 0.83366
chrI 127695 3.487 1.24173
chrI 127881 5.547 1.36568
chrI 128093 1.825 2.56233
chrI 128263 4.313 2.43108
chrI 128391 10.788 3.33708
chrI 128534 18.264 4.00377
chrI 128685 27.714 6.342
chrI 128849 7.079 2.11789
chrI 129007 4.558 2.02273
chrI 129116 0.607 0.55002
chrI 129294 5.021 2.73524
chrI 129452 10.2 3.70459
chrI 129615 3.775 1.24707
chrI 129810 3.307 1.90839
chrI 129930 2.719 0.82867
chrI 130145 3.407 0.6554
chrI 130309 3.979 1.56174
chrI 130483 3.014 2.31586
chrI 130686 0.606 1.17909
chrI 130801 2.068 1.04475
chrI 130980 2.38 0.83542
chrI 131102 2.179 0.53028
chrI 131283 5.809 1.49843
chrI 131403 3.195 0.49574
chrI 131636 4.539 0.92174
chrI 131812 8.427 1.76522
chrI 131980 5.945 2.47268
chrI 132225 2.963 1.10656
chrI 132400 6.033 1.87808
chrI 132559 8.96 3.62364
chrI 132730 2.834 2.04836
chrI 132926 2.335 2.17156
chrI 133050 5.073 3.03531
chrI 133209 8.35 2.58285
chrI 133389 6.166 1.75824
chrI 133553 3.182 1.16745
chrI 133767 3.756 1.6669
chrI 133958 2.427 1.3221
chrI 134090 2.881 1.48644
chrI 134261 1.721 0.84023
chrI 134381 1.336 0.72253
chrI 134526 3.119 1.4834
chrI 134666 4.84 3.04602
chrI 134838 6.313 3.92182
chrI 135009 5.34 1.40726
chrI 135170 8.513 3.17061
chrI 135319 10.162 5.22429
chrI 135504 3.813 1.45354
chrI 135654 1.609 1.04418
chrI 135869 3.527 1.41851
chrI 136041 8.328 3.97356
chrI 136191 5.975 3.69629
chrI 136351 1.97 1.38968
chrI 136536 4.743 1.51208
chrI 136690 6.623 2.53126
chrI 136866 4.707 1.74881
chrI 137065 3.532 0.69034
chrI 137254 3.743 0.8785
chrI 137389 2.022 0.88901
chrI 137500 2.677 1.63534
chrI 137656 1.47 1.01728
chrI 137787 2.197 1.1923
chrI 137929 5.615 2.99211
chrI 138038 3.742 1.95812
chrI 138222 4.806 1.31893
chrI 138366 4.011 1.71245
chrI 138515 1.166 0.85146
chrI 138668 1.287 1.08623
chrI 138814 2.551 0.97231
chrI 138973 3.489 1.65399
chrI 139171 0.497 0.95531
chrI 139393 0.41 0.57065
chrI 139610 3.48 0.70472
chrI 139800 2.108 1.45855
chrI 139916 1.081 1.94909
chrI 140030 0.384 0.63757
chrI 140146 1.275 0.79863
chrI 140300 1.12 1.02877
chrI 140484 0.643 1.25177
chrI 140719 0.617 1.23432
chrI 140843 0.426 0.8518
chrI 140969 0.267 0.53402
chrI 141094 0.639 1.18158
chrI 141640 0.352 0.70396
chrI 141809 0.709 1.41852
chrI 141950 0.423 0.84584
chrI 142059 0.511 1.02224
chrI 142235 1.439 1.22129
chrI 142343 0.614 0.57459
chrI 142497 0.804 1.07733
chrI 142645 1.615 0.61904
chrI 142793 3.553 0.92791
chrI 143012 2.362 0.87313
chrI 143149 1.012 0.648
chrI 143329 1.177 2.292
chrI 143471 0.858 0.81894
chrI 143634 2.832 1.8624
chrI 143789 3.399 0.86314
chrI 143933 5.684 1.49806
chrI 144108 4.942 1.17122
chrI 144306 3.613 0.86051
chrI 144471 2.277 1.05876
chrI 144607 3.398 2.00878
chrI 144752 8.83 2.93009
chrI 144924 10.145 2.98009
chrI 145052 5.327 1.46198
chrI 145253 7.881 2.28292
chrI 145409 5.431 1.39107
chrI 145517 2.635 0.67845
chrI 145718 1.79 0.70254
chrI 145847 3.583 1.06976
chrI 145995 4.399 1.24228
chrI 146154 3.95 1.54214
chrI 146311 2.179 1.94018
chrI 146429 1.953 1.16398
chrI 146548 3.641 1.61105
chrI 146698 2.38 1.32116
chrI 146836 4.092 1.86716
chrI 147017 7.605 4.09732
chrI 147166 6.843 3.90278
chrI 147278 0.836 0.61627
